provider_slug,zip_code,coverage_type,coverage_notes,confidence_level,is_primary,service_availability,requires_address_confirmation,jurisdiction_notes
winter-park-water,32789,possible,Possible City water service for addresses within its utility territory.,high,0,primary_municipal,1,Confirm the service address before opening an account.
winter-park-sewer,32789,address_required,City wastewater service depends on the connected property.,high,0,address_required,1,Sewer or septic status must be confirmed by address.
winter-park-trash,32789,address_required,City collection information applies to eligible properties.,high,0,address_required,1,Property type and jurisdiction affect collection.
fcc-broadband-map,32789,address_required,Use the FCC address search for reported internet availability.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,32789,address_required,Use county and city sites to confirm jurisdiction.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
apopka-water,32703,possible,Possible City of Apopka water service; the City says service varies by property.,high,0,primary_municipal,1,Confirm the exact service location.
apopka-sewer,32703,possible,Possible City sewer service; service varies by property location.,high,0,primary_municipal,1,Another utility or septic may apply.
apopka-trash,32703,address_required,City sanitation applies within Apopka city limits.,high,0,address_required,1,Unincorporated addresses have different arrangements.
fcc-broadband-map,32703,address_required,Use the FCC address search for reported internet availability.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,32703,address_required,Use county and city sites to confirm jurisdiction.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
florida-psc-electric-finder,32703,address_required,Use the official state territory tool to identify the possible electric utility.,high,0,address_required,1,The tool is a starting point and not a provider assignment.
deland-water,32720,possible,Possible city water provider; confirm that the property is in the DeLand service area.,high,0,possible,1,The mailing city does not guarantee City service.
deland-sewer,32720,address_required,Sewer service or septic status varies by property; confirm the exact address.,high,0,address_required,1,Connected sewer service is not ZIP-wide.
deland-solid-waste,32720,address_required,City garbage service applies within city limits; confirm the exact address.,high,0,address_required,1,Unincorporated and multi-family properties may differ.
fcc-broadband-map,32720,address_required,Internet providers and technology vary building by building; use the FCC address search.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32720,address_required,Use county and city sites to confirm which local agency serves the property.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
florida-psc-electric-finder,32720,address_required,Use the official state territory tool to identify the possible electric utility.,high,0,address_required,1,The tool is a starting point and not a provider assignment.
daytona-water,32114,possible,Possible City of Daytona Beach water service for addresses in its utility area.,high,0,primary_municipal,1,Confirm City utility eligibility for the exact address.
daytona-sewer,32114,address_required,City wastewater service is possible for connected properties.,high,0,address_required,1,Sewer or septic status varies by parcel.
daytona-trash,32114,address_required,City collection information applies to eligible Daytona Beach properties.,high,0,address_required,1,City limits and property type affect collection.
fcc-broadband-map,32114,address_required,Use the FCC address search for reported internet availability.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32114,address_required,Use county and city sites to confirm jurisdiction.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
florida-psc-electric-finder,32114,address_required,Use the official state territory tool to identify the possible electric utility.,high,0,address_required,1,The tool is a starting point and not a provider assignment.
seco-electric,34748,possible,SECO serves parts of Lake County; confirm this address on the official territory tool.,medium,0,possible,1,Other electric territories may overlap the ZIP.
fcc-broadband-map,34748,address_required,Internet providers and technology vary building by building; use the FCC address search.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,34748,address_required,Use county and city sites to confirm which local agency serves the property.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
florida-psc-electric-finder,34748,address_required,Use the official state territory tool to confirm the electric territory.,high,0,multiple_possible,1,SECO is possible but the address must be checked.
clermont-water,34711,possible,Possible City of Clermont water service within its service area.,high,0,primary_municipal,1,The City says Lake County or a private utility may serve some properties.
clermont-sewer,34711,address_required,Possible City sewer service for connected properties.,high,0,address_required,1,Another utility or septic may apply.
clermont-trash,34711,address_required,Possible City garbage service for eligible accounts.,high,0,address_required,1,County or private arrangements may apply.
fcc-broadband-map,34711,address_required,Use the FCC address search for reported internet availability.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,34711,address_required,Use county and city sites to confirm jurisdiction.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
florida-psc-electric-finder,34711,address_required,Use the official state territory tool to identify the possible electric utility.,high,0,address_required,1,The tool is a starting point and not a provider assignment.
mount-dora-electric,32757,possible,Possible City of Mount Dora electric service for eligible properties.,high,1,primary_municipal,1,The City states utility deposits vary by location.
mount-dora-water,32757,possible,Possible City water service for eligible properties.,high,0,primary_municipal,1,Confirm service for the exact property.
mount-dora-sewer,32757,address_required,Possible City sewer service for connected properties.,high,0,address_required,1,Sewer or septic status varies by property.
mount-dora-trash,32757,address_required,Possible City sanitation service for eligible properties.,high,0,address_required,1,Confirm jurisdiction and account eligibility.
fcc-broadband-map,32757,address_required,Use the FCC address search for reported internet availability.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,32757,address_required,Use county and city sites to confirm jurisdiction.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
kua-electric,34741,possible,KUA serves the Kissimmee area; confirm the property on its official territory map.,high,0,possible,1,The authority territory does not follow ZIP boundaries.
toho-water,34741,possible,Toho is a possible water provider; confirm the address in its service area.,high,0,possible,1,Other systems may serve some addresses.
toho-sewer,34741,address_required,Toho is a possible wastewater provider; sewer or septic varies by property.,high,0,address_required,1,Connected service must be confirmed.
fcc-broadband-map,34741,address_required,Internet providers and technology vary building by building; use the FCC address search.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34741,address_required,Use county and city sites to confirm which local agency serves the property.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
ouc-electric,34769,possible,OUC manages the St. Cloud electric system; confirm the service address.,high,1,primary_municipal,1,The official City source describes the interlocal electric arrangement.
toho-water,34769,possible,Toho manages St. Cloud water service; confirm availability for the property.,high,0,primary_municipal,1,The City directs customers to Toho for account service.
toho-sewer,34769,address_required,Toho manages St. Cloud wastewater service for connected properties.,high,0,address_required,1,Sewer or septic status must be confirmed.
st-cloud-trash,34769,address_required,City residential curbside collection applies to eligible St. Cloud properties.,high,0,address_required,1,County customers have different disposal arrangements.
fcc-broadband-map,34769,address_required,Use the FCC address search for reported internet availability.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34769,address_required,Use county and city sites to confirm jurisdiction.,high,0,address_required,1,The mailing city may differ from government jurisdiction.
fpl-electric,32746,possible,FPL may serve portions of this ZIP; confirm the exact address before opening service.,high,0,multiple_possible,1,Seminole County identifies both FPL and Duke Energy in the area.
duke-electric,32746,possible,Duke Energy may serve portions of this ZIP; confirm the exact address.,high,0,multiple_possible,1,Seminole County identifies both Duke Energy and FPL in the area.
fpl-electric,32771,possible,FPL may serve portions of Sanford ZIP 32771; confirm the exact address.,high,0,multiple_possible,1,Electric territories do not follow mailing-city or ZIP boundaries.
duke-electric,32771,possible,Duke Energy may serve portions of Sanford ZIP 32771; confirm the exact address.,high,0,multiple_possible,1,Electric territories do not follow mailing-city or ZIP boundaries.
duke-electric,32703,possible,Duke Energy is a possible electric provider for Apopka addresses.,high,0,possible,1,Confirm the property on the official start-service flow.
duke-electric,32720,possible,Duke Energy serves the City of DeLand area; confirm the exact address.,high,0,possible,1,The ZIP includes properties outside city limits.
fpl-electric,32114,possible,FPL may serve Daytona Beach addresses in this ZIP.,high,0,multiple_possible,1,Volusia County has multiple electric territories; confirm by address.
duke-electric,34711,possible,Duke Energy may serve portions of Clermont ZIP 34711.,high,0,multiple_possible,1,The City lists Duke and SECO as local electric utilities.
seco-electric,34711,possible,SECO may serve portions of Clermont ZIP 34711.,high,0,multiple_possible,1,The City lists SECO and Duke as local electric utilities.
leesburg-water,34748,possible,City of Leesburg water may serve eligible properties.,high,0,primary_municipal,1,Confirm the property is within the City utility territory.
leesburg-sewer,34748,address_required,City wastewater may serve connected eligible properties.,high,0,address_required,1,Sewer connection or septic status varies by parcel.
leesburg-trash,34748,address_required,City collection may serve eligible properties within city limits.,high,0,address_required,1,Unincorporated and multi-family properties may differ.
orlando-sewer,32801,address_required,City wastewater may serve connected properties in downtown Orlando.,high,0,primary_municipal,1,The official map is approximate; confirm the parcel.
orlando-trash,32801,address_required,City residential collection may serve eligible Orlando properties.,high,0,address_required,1,Property type and jurisdiction affect collection.
kissimmee-trash,34741,address_required,City collection may serve eligible properties inside Kissimmee city limits.,high,0,address_required,1,Unincorporated addresses use a different arrangement.
spectrum-internet,32771,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32771,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32771,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32771,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,32746,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32746,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32746,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32746,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,32801,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32801,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32801,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32801,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,32789,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32789,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32789,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32789,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,32703,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32703,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32703,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32703,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,32720,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32720,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32720,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32720,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,32114,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32114,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32114,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32114,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,34748,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,34748,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,34748,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,34748,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,34711,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,34711,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,34711,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,34711,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,32757,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,32757,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,32757,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,32757,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,34741,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,34741,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,34741,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,34741,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
spectrum-internet,34769,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
xfinity-internet,34769,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
att-internet,34769,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
quantum-fiber,34769,address_required,Use the official provider checker with the complete street address.,high,0,address_required,1,This listing does not claim ZIP-wide availability.
fcc-broadband-map,32701,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32701,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32707,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32707,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32708,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32708,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32714,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32714,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32750,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32750,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32765,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32765,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32766,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32766,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32773,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
seminole-government,32773,possible,Official Seminole County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32803,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,32803,possible,Official Orange County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32804,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,32804,possible,Official Orange County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32806,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,32806,possible,Official Orange County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32809,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,32809,possible,Official Orange County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34761,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,34761,possible,Official Orange County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34786,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,34786,possible,Official Orange County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34787,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
orange-government,34787,possible,Official Orange County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32117,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32117,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32118,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32118,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32119,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32119,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32127,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32127,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32129,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32129,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32168,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32168,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32174,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32174,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32724,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
volusia-government,32724,possible,Official Volusia County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32726,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,32726,possible,Official Lake County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,32778,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,32778,possible,Official Lake County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34715,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,34715,possible,Official Lake County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34731,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,34731,possible,Official Lake County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34736,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,34736,possible,Official Lake County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34753,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,34753,possible,Official Lake County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34788,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
lake-government,34788,possible,Official Lake County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34739,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34739,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34743,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34743,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34744,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34744,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34746,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34746,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34747,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34747,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34758,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34758,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34771,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34771,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
fcc-broadband-map,34772,address_required,Use the FCC address search for reported internet providers and technologies.,high,0,address_required,1,Availability and speeds vary by exact street address.
osceola-government,34772,possible,Official Osceola County starting point while utility research is pending.,high,0,possible,1,Confirm municipal and county jurisdiction with the complete address.
