task_type,zip_code,city,county,provider_slug,missing_category,current_status,priority,suggested_official_source,last_researched_date,sources_reviewed,next_recommended_action,research_notes
missing-provider,34788,Leesburg,Lake,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34788,Leesburg,Lake,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34788,Leesburg,Lake,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34788,Leesburg,Lake,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32803,Orlando,Orange,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32803,Orlando,Orange,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32803,Orlando,Orange,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32803,Orlando,Orange,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32803,Orlando,Orange,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32804,Orlando,Orange,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32804,Orlando,Orange,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32804,Orlando,Orange,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32804,Orlando,Orange,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32804,Orlando,Orange,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32806,Orlando,Orange,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32806,Orlando,Orange,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32806,Orlando,Orange,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32806,Orlando,Orange,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32806,Orlando,Orange,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32809,Orlando,Orange,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32809,Orlando,Orange,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32809,Orlando,Orange,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32809,Orlando,Orange,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32809,Orlando,Orange,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34761,Ocoee,Orange,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34761,Ocoee,Orange,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34761,Ocoee,Orange,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34761,Ocoee,Orange,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34761,Ocoee,Orange,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34786,Windermere,Orange,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34786,Windermere,Orange,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34786,Windermere,Orange,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34786,Windermere,Orange,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34786,Windermere,Orange,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34787,Winter Garden,Orange,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34787,Winter Garden,Orange,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34787,Winter Garden,Orange,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34787,Winter Garden,Orange,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34787,Winter Garden,Orange,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34739,Kenansville,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34739,Kenansville,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34739,Kenansville,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34739,Kenansville,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34739,Kenansville,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34743,Kissimmee,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34743,Kissimmee,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34743,Kissimmee,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34743,Kissimmee,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34743,Kissimmee,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34744,Kissimmee,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34744,Kissimmee,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34744,Kissimmee,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34744,Kissimmee,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34744,Kissimmee,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34746,Kissimmee,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34746,Kissimmee,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34746,Kissimmee,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34746,Kissimmee,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34746,Kissimmee,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34747,Kissimmee,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34747,Kissimmee,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34747,Kissimmee,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34747,Kissimmee,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34747,Kissimmee,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34758,Kissimmee,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34758,Kissimmee,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34758,Kissimmee,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34758,Kissimmee,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34758,Kissimmee,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34771,St. Cloud,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34771,St. Cloud,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34771,St. Cloud,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34771,St. Cloud,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34771,St. Cloud,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,34772,St. Cloud,Osceola,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34772,St. Cloud,Osceola,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34772,St. Cloud,Osceola,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34772,St. Cloud,Osceola,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,34772,St. Cloud,Osceola,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32701,Altamonte Springs,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32701,Altamonte Springs,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32701,Altamonte Springs,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32701,Altamonte Springs,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32701,Altamonte Springs,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32707,Casselberry,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32707,Casselberry,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32707,Casselberry,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32707,Casselberry,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32707,Casselberry,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32708,Winter Springs,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32708,Winter Springs,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32708,Winter Springs,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32708,Winter Springs,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32708,Winter Springs,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32714,Altamonte Springs,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32714,Altamonte Springs,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32714,Altamonte Springs,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32714,Altamonte Springs,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32714,Altamonte Springs,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32750,Longwood,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32750,Longwood,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32750,Longwood,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32750,Longwood,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32750,Longwood,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32765,Oviedo,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32765,Oviedo,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32765,Oviedo,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32765,Oviedo,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32765,Oviedo,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32766,Oviedo,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32766,Oviedo,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
