slug,name,category_slug,state_code,description,official_website,service_notes,status,is_verified,last_verified_at,provider_type,start_service_url,address_check_url,outage_url,hours,technology_type
toho-water,Toho Water Authority,water,FL,Public water authority serving much of Osceola County and other defined areas.,https://www.tohowater.com/about-us/our-service-area,Service depends on the exact address and mapped utility boundary.,verified,1,2026-07-28,public_authority,https://www.tohowater.com/,https://www.tohowater.com/about-us/our-service-area,https://www.tohowater.com/,Customer service Monday-Friday 8 a.m.-5 p.m.,
toho-sewer,Toho Water Authority,sewer,FL,Public wastewater authority serving much of Osceola County and other defined areas.,https://www.tohowater.com/about-us/our-service-area,Service depends on the exact address and mapped utility boundary.,verified,1,2026-07-28,public_authority,https://www.tohowater.com/,https://www.tohowater.com/about-us/our-service-area,https://www.tohowater.com/,Customer service Monday-Friday 8 a.m.-5 p.m.,
fcc-broadband-map,FCC National Broadband Map,internet,FL,Official address-level tool showing internet availability reported by providers.,https://broadbandmap.fcc.gov/home,This is an official lookup tool rather than an internet provider. Search the exact street address.,verified,1,2026-07-28,official_lookup,,https://broadbandmap.fcc.gov/home,,,Address-level reported technologies vary
florida-psc-electric-finder,Florida PSC Electric Territory Finder,electricity,FL,Official state utility-territory lookup for addresses where the electric provider is not yet confirmed.,https://www.floridapsc.com/find-utility-service,This is a territory research tool rather than an electric provider.,verified,1,2026-07-28,official_lookup,,https://www.floridapsc.com/find-utility-service,,,
florida-psc-gas-finder,Florida PSC Natural Gas Territory Finder,natural-gas,FL,Official state utility-territory lookup for checking possible natural gas service.,https://www.floridapsc.com/find-utility-service,Gas availability is not implied; use the official territory tool and confirm the exact address.,verified,1,2026-07-28,official_lookup,,https://www.floridapsc.com/find-utility-service,,,
seminole-government,Seminole County Government,local-government,FL,Official county starting point for services and departments.,https://www.seminolecountyfl.gov/,County and city responsibilities vary by address.,verified,1,2026-07-27,county_government,,https://www.seminolecountyfl.gov/,,,
orange-government,Orange County Government,local-government,FL,Official county starting point for services and departments.,https://www.ocfl.net/,County and city responsibilities vary by address.,verified,1,2026-07-27,county_government,,https://www.ocfl.net/,,,
volusia-government,Volusia County Government,local-government,FL,Official county starting point for services and departments.,https://www.volusia.org/,County and city responsibilities vary by address.,verified,1,2026-07-27,county_government,,https://www.volusia.org/,,,
lake-government,Lake County Government,local-government,FL,Official county starting point for services and departments.,https://www.lakecountyfl.gov/,County and city responsibilities vary by address.,verified,1,2026-07-27,county_government,,https://www.lakecountyfl.gov/,,,
osceola-government,Osceola County Government,local-government,FL,Official county starting point for services and departments.,https://www.osceola.org/,County and city responsibilities vary by address.,verified,1,2026-07-27,county_government,,https://www.osceola.org/,,,
lake-mary-water,City of Lake Mary Water Utility,water,FL,City water utility for addresses within its service area.,https://www.lakemaryfl.com/178/Utility-Customer-Service,Not all Lake Mary addresses are serviced by the City.,verified,1,2026-07-28,municipal_utility,https://www.lakemaryfl.com/506/Apply-For-Change-Utility-Service,https://www.lakemaryfl.com/506/Apply-For-Change-Utility-Service,,Monday-Friday 8 a.m.-5 p.m.,
lake-mary-sewer,City of Lake Mary Wastewater Utility,sewer,FL,City wastewater service for connected addresses within its service area.,https://www.lakemaryfl.com/178/Utility-Customer-Service,Septic or another utility may apply outside the City system.,verified,1,2026-07-28,municipal_utility,https://www.lakemaryfl.com/506/Apply-For-Change-Utility-Service,https://www.lakemaryfl.com/506/Apply-For-Change-Utility-Service,,Monday-Friday 8 a.m.-5 p.m.,
lake-mary-trash,City of Lake Mary Solid Waste Service,trash-recycling,FL,City-billed residential garbage recycling and yard-waste service.,https://www.lakemaryfl.com/180/Garbage-Recycling-Yard-Waste-Info,Service depends on City jurisdiction and the exact property.,verified,1,2026-07-28,municipal_department,https://www.lakemaryfl.com/178/Utility-Customer-Service,https://www.lakemaryfl.com/178/Utility-Customer-Service,,Monday-Friday 8 a.m.-5 p.m.,
winter-park-electric,City of Winter Park Electric Utility,electricity,FL,City-owned electric service for properties within its electric territory.,https://cityofwinterpark.org/departments/finance/utility-billing/,Confirm that the service address is within Winter Park's electric territory.,verified,1,2026-07-28,municipal_utility,https://cityofwinterpark.org/departments/finance/utility-billing/,https://cityofwinterpark.org/departments/finance/utility-billing/,https://cityofwinterpark.org/departments/finance/utility-billing/,Customer service Monday-Friday 8 a.m.-5 p.m.,
winter-park-water,City of Winter Park Water Utility,water,FL,City water service for properties within its utility territory.,https://cityofwinterpark.org/departments/finance/utility-billing/,Confirm service for the exact address before opening an account.,verified,1,2026-07-28,municipal_utility,https://cityofwinterpark.org/departments/finance/utility-billing/,https://cityofwinterpark.org/departments/finance/utility-billing/,,Customer service Monday-Friday 8 a.m.-5 p.m.,
winter-park-sewer,City of Winter Park Wastewater Utility,sewer,FL,City wastewater service for connected properties.,https://cityofwinterpark.org/departments/finance/utility-billing/,Sewer availability depends on the exact property.,verified,1,2026-07-28,municipal_utility,https://cityofwinterpark.org/departments/finance/utility-billing/,https://cityofwinterpark.org/departments/finance/utility-billing/,,Customer service Monday-Friday 8 a.m.-5 p.m.,
winter-park-trash,City of Winter Park Solid Waste Information,trash-recycling,FL,Official city collection and service-day starting point.,https://cityofwinterpark.org/departments/finance/utility-billing/,Collection depends on city jurisdiction and property type.,verified,1,2026-07-28,municipal_department,,https://cityofwinterpark.org/departments/finance/utility-billing/,,,
apopka-water,City of Apopka Water Utility,water,FL,City water service for eligible properties in Apopka.,https://www.apopka.gov/309/Utility-Billing/utilitybilling,The City states that services may vary by property location.,verified,1,2026-07-28,municipal_utility,https://www.apopka.gov/335/New-Service,https://www.apopka.gov/335/New-Service,,Monday-Friday 8 a.m.-5 p.m.,
apopka-sewer,City of Apopka Sewer Utility,sewer,FL,City sewer service for eligible properties in Apopka.,https://www.apopka.gov/309/Utility-Billing/utilitybilling,The City states that services may vary by property location.,verified,1,2026-07-28,municipal_utility,https://www.apopka.gov/335/New-Service,https://www.apopka.gov/335/New-Service,,Monday-Friday 8 a.m.-5 p.m.,
apopka-trash,City of Apopka Sanitation Service,trash-recycling,FL,City garbage service for residents within Apopka city limits.,https://www.apopka.gov/322/Frequently-Asked-Questions,City limits determine municipal collection eligibility.,verified,1,2026-07-28,municipal_department,https://www.apopka.gov/335/New-Service,https://www.apopka.gov/335/New-Service,,Monday-Friday 8 a.m.-5 p.m.,
daytona-water,City of Daytona Beach Water Utility,water,FL,City water utility billing and service starting point.,https://www.codb.us/utilitybilling,Confirm the exact address is within the City's utility service area.,verified,1,2026-07-28,municipal_utility,https://www.codb.us/utilitybilling,https://www.codb.us/utilitybilling,,Monday-Friday 8 a.m.-4:30 p.m.,
daytona-sewer,City of Daytona Beach Wastewater Utility,sewer,FL,City wastewater utility billing and service starting point.,https://www.codb.us/utilitybilling,Connected sewer service must be confirmed for the property.,verified,1,2026-07-28,municipal_utility,https://www.codb.us/utilitybilling,https://www.codb.us/utilitybilling,,Monday-Friday 8 a.m.-4:30 p.m.,
daytona-trash,City of Daytona Beach Solid Waste Department,trash-recycling,FL,Official city garbage-collection contact and information.,https://www.codb.us/contactus,Collection eligibility depends on city jurisdiction and property type.,verified,1,2026-07-28,municipal_department,,https://www.codb.us/contactus,,Monday-Friday 8 a.m.-5 p.m.,
clermont-water,City of Clermont Water Utility,water,FL,City water service for properties within part of a 63-square-mile service area.,https://www.clermontfl.gov/285/Utility-Billing,The City warns that County or private utilities may serve some addresses.,verified,1,2026-07-28,municipal_utility,https://www.clermontfl.gov/285/Utility-Billing,https://www.clermontfl.gov/285/Utility-Billing,,,
clermont-sewer,City of Clermont Sewer Utility,sewer,FL,City wastewater collection for connected properties in its service area.,https://www.clermontfl.gov/285/Utility-Billing,The City warns that services may be provided fully or partially by others.,verified,1,2026-07-28,municipal_utility,https://www.clermontfl.gov/285/Utility-Billing,https://www.clermontfl.gov/285/Utility-Billing,,,
clermont-trash,City of Clermont Garbage Service,trash-recycling,FL,City-billed garbage service for eligible Clermont properties.,https://www.clermontfl.gov/285/Utility-Billing,City County or private arrangements may apply depending on address.,verified,1,2026-07-28,municipal_department,https://www.clermontfl.gov/285/Utility-Billing,https://www.clermontfl.gov/285/Utility-Billing,,,
mount-dora-electric,City of Mount Dora Electric Utility,electricity,FL,City-provided electric service for eligible Mount Dora properties.,https://www.mountdora.gov/1080/Apply-for-Utility-Service,Residential utility deposits vary by location.,verified,1,2026-07-28,municipal_utility,https://www.mountdora.gov/1080/Apply-for-Utility-Service,https://www.mountdora.gov/1080/Apply-for-Utility-Service,https://www.mountdora.gov/1080/Apply-for-Utility-Service,Monday-Friday 8 a.m.-5 p.m.,
mount-dora-water,City of Mount Dora Water Utility,water,FL,City-provided water service for eligible Mount Dora properties.,https://www.mountdora.gov/1080/Apply-for-Utility-Service,Confirm availability for the exact property.,verified,1,2026-07-28,municipal_utility,https://www.mountdora.gov/1080/Apply-for-Utility-Service,https://www.mountdora.gov/1080/Apply-for-Utility-Service,,Monday-Friday 8 a.m.-5 p.m.,
mount-dora-sewer,City of Mount Dora Sewer Utility,sewer,FL,City-provided sewer service for connected Mount Dora properties.,https://www.mountdora.gov/1080/Apply-for-Utility-Service,Sewer or septic status varies by property.,verified,1,2026-07-28,municipal_utility,https://www.mountdora.gov/1080/Apply-for-Utility-Service,https://www.mountdora.gov/1080/Apply-for-Utility-Service,,Monday-Friday 8 a.m.-5 p.m.,
mount-dora-trash,City of Mount Dora Sanitation Service,trash-recycling,FL,City-provided sanitation account information for eligible properties.,https://www.mountdora.gov/1080/Apply-for-Utility-Service,Collection depends on the exact location and account eligibility.,verified,1,2026-07-28,municipal_department,https://www.mountdora.gov/1080/Apply-for-Utility-Service,https://www.mountdora.gov/1080/Apply-for-Utility-Service,,Monday-Friday 8 a.m.-5 p.m.,
st-cloud-trash,City of St. Cloud Solid Waste,trash-recycling,FL,City residential curbside collection and transfer-station information.,https://www.stcloudfl.gov/1742/Solid-Waste,City residents and county customers have different arrangements.,verified,1,2026-07-28,municipal_department,,https://www.stcloudfl.gov/1742/Solid-Waste,,Monday-Friday 7 a.m.-3:30 p.m.,
